seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
6,45,0.49375,0.4875,0.5
6,46,0.4875,0.48125,0.49375
6,47,0.51875,0.5,0.5375
6,48,0.515625,0.51875,0.5125
6,49,0.478125,0.48125,0.475
6,50,0.496875,0.5,0.49375
6,51,0.490625,0.46875,0.5125
6,52,0.50625,0.51875,0.49375
6,53,0.521875,0.53125,0.5125
6,54,0.51875,0.51875,0.51875
6,55,0.50625,0.50625,0.50625
6,56,0.50625,0.50625,0.50625
6,57,0.5,0.5,0.5
6,58,0.50625,0.4875,0.525
6,59,0.515625,0.49375,0.5375
6,60,0.525,0.51875,0.53125
6,61,0.503125,0.50625,0.5
7,0,0.48125,0.53125,0.43125
7,1,0.490625,0.51875,0.4625
7,2,0.515625,0.51875,0.5125
7,3,0.51875,0.5125,0.525
7,4,0.503125,0.5,0.50625
7,5,0.4875,0.44375,0.53125
7,6,0.50625,0.55625,0.45625
7,7,0.45625,0.46875,0.44375
7,8,0.475,0.475,0.475
7,9,0.48125,0.48125,0.48125
7,10,0.509375,0.49375,0.525
7,11,0.465625,0.45625,0.475
7,12,0.471875,0.50625,0.4375
7,13,0.48125,0.51875,0.44375
7,14,0.4875,0.5125,0.4625
7,15,0.4875,0.5,0.475
7,16,0.490625,0.475,0.50625
7,17,0.5125,0.51875,0.50625
7,18,0.475,0.49375,0.45625
7,19,0.459375,0.4875,0.43125
7,20,0.484375,0.48125,0.4875
7,21,0.471875,0.49375,0.45
7,22,0.490625,0.46875,0.5125
7,23,0.48125,0.48125,0.48125
7,24,0.46875,0.43125,0.50625
7,25,0.503125,0.425,0.58125
7,26,0.46875,0.4125,0.525
7,27,0.490625,0.45625,0.525
7,28,0.4625,0.425,0.5
7,29,0.490625,0.475,0.50625
7,30,0.475,0.45,0.5
7,31,0.503125,0.48125,0.525
7,32,0.4875,0.44375,0.53125
7,33,0.46875,0.4375,0.5
7,34,0.49375,0.46875,0.51875
7,35,0.496875,0.45625,0.5375
7,36,0.4875,0.45625,0.51875
7,37,0.484375,0.4375,0.53125
7,38,0.490625,0.45,0.53125
7,39,0.4875,0.4375,0.5375
7,40,0.496875,0.45,0.54375
7,41,0.490625,0.45,0.53125
7,42,0.478125,0.45,0.50625
7,43,0.484375,0.44375,0.525
7,44,0.496875,0.45,0.54375
